round,loss,accuracy
0,0.8053669929504395,0.17398945518453426
1,0.6541478633880615,0.7293497363796133
2,0.5488583445549011,0.9033391915641477
3,0.46671563386917114,0.9226713532513181
4,0.4012564718723297,0.929701230228471
5,0.34950706362724304,0.9367311072056239
6,0.3088436722755432,0.9384885764499121
7,0.2768614590167999,0.9437609841827768
8,0.2513171136379242,0.945518453427065
9,0.23066432774066925,0.9472759226713533
10,0.21366563439369202,0.9490333919156415
0,0.6751428842544556,0.4868189806678383
1,0.5414719581604004,0.8629173989455184
2,0.44811010360717773,0.9209138840070299
3,0.38200443983078003,0.9402460456942003
4,0.32966819405555725,0.9437609841827768
5,0.29025503993034363,0.9437609841827768
6,0.2613820731639862,0.9437609841827768
7,0.23806478083133698,0.945518453427065
8,0.21915531158447266,0.9472759226713533
9,0.20292368531227112,0.9490333919156415
10,0.18998418748378754,0.9560632688927944
0,0.7064312100410461,0.43936731107205623
1,0.61214280128479,0.8576449912126538
2,0.538551390171051,0.9068541300527241
3,0.4743900001049042,0.9121265377855887
4,0.4184976816177368,0.9261862917398945
5,0.3720054030418396,0.9279437609841827
6,0.3328401446342468,0.929701230228471
7,0.3011542856693268,0.9349736379613357
8,0.27458155155181885,0.9384885764499121
9,0.25243812799453735,0.9402460456942003
10,0.23409037292003632,0.9402460456942003
0,0.7996394038200378,0.20035149384885764
1,0.7260867953300476,0.28822495606326887
2,0.6593173146247864,0.7627416520210897
3,0.5985473990440369,0.8822495606326889
4,0.5396026968955994,0.9209138840070299
5,0.48575693368911743,0.9226713532513181
6,0.4342811405658722,0.9279437609841827
7,0.38785412907600403,0.929701230228471
8,0.34633785486221313,0.9332161687170475
9,0.30967187881469727,0.9384885764499121
10,0.27903294563293457,0.9437609841827768
0,0.6075674295425415,0.789103690685413
1,0.5420032739639282,0.875219683655536
2,0.4816431701183319,0.9068541300527241
3,0.4241885244846344,0.9138840070298769
4,0.3768846392631531,0.9191564147627417
5,0.3391587436199188,0.9226713532513181
6,0.3093685805797577,0.9279437609841827
7,0.2843185365200043,0.929701230228471
8,0.26430395245552063,0.9314586994727593
9,0.24771930277347565,0.9314586994727593
10,0.23399846255779266,0.9332161687170475
0,0.7101299166679382,0.3954305799648506
1,0.6467537879943848,0.7662565905096661
2,0.580962598323822,0.836555360281195
3,0.5201902985572815,0.8576449912126538
4,0.4634190797805786,0.8769771528998243
5,0.4095778465270996,0.8945518453427065
6,0.36443471908569336,0.9138840070298769
7,0.3262116312980652,0.9226713532513181
8,0.2929094433784485,0.9332161687170475
9,0.26671090722084045,0.9384885764499121
10,0.24465510249137878,0.9420035149384886
