round,loss,accuracy
0,0.7639048099517822,0.36731107205623903
1,0.6713517904281616,0.6502636203866432
2,0.6079419851303101,0.8172231985940246
3,0.5540056824684143,0.859402460456942
4,0.5073416233062744,0.8927943760984183
5,0.4666566848754883,0.9068541300527241
6,0.43176349997520447,0.9209138840070299
7,0.40183427929878235,0.929701230228471
8,0.37607142329216003,0.9349736379613357
9,0.35422229766845703,0.9384885764499121
10,0.33546343445777893,0.9402460456942003
0,0.6898361444473267,0.5448154657293497
1,0.7164221405982971,0.6274165202108963
2,0.6063328981399536,0.836555360281195
3,0.5407193303108215,0.8857644991212654
4,0.5024214386940002,0.875219683655536
5,0.4745166301727295,0.8646748681898067
6,0.43244433403015137,0.8717047451669596
7,0.3959216773509979,0.8769771528998243
8,0.3622061312198639,0.9103690685413005
9,0.3376694321632385,0.9068541300527241
10,0.2968873977661133,0.9173989455184535
0,0.6739709973335266,0.648506151142355
1,0.6062705516815186,0.7627416520210897
2,0.5242116451263428,0.8980667838312829
3,0.4828733205795288,0.8347978910369068
4,0.4424699544906616,0.9472759226713533
5,0.40640056133270264,0.9472759226713533
6,0.3800466060638428,0.9560632688927944
7,0.3608681857585907,0.9595782073813708
8,0.3681640326976776,0.9261862917398945
9,0.3397490084171295,0.9666080843585237
10,0.3112790882587433,0.9595782073813708
0,0.6755573153495789,0.5483304042179262
1,0.6353443264961243,0.6942003514938488
2,0.5875881314277649,0.8066783831282952
3,0.5413586497306824,0.8699472759226714
4,0.4992871582508087,0.8998242530755711
5,0.45829030871391296,0.9121265377855887
6,0.42094558477401733,0.9173989455184535
7,0.39136451482772827,0.9244288224956063
8,0.3661855459213257,0.9226713532513181
9,0.34366801381111145,0.9209138840070299
10,0.3237335681915283,0.9244288224956063
0,0.6914221048355103,0.5149384885764499
1,0.68668532371521,0.616871704745167
2,0.6316054463386536,0.6502636203866432
3,0.5795818567276001,0.8541300527240774
4,0.5790706276893616,0.6344463971880492
5,0.5535079836845398,0.6432337434094904
6,0.5212664604187012,0.6889279437609842
7,0.4975997805595398,0.7240773286467487
8,0.48206043243408203,0.6889279437609842
9,0.5078355669975281,0.6291739894551845
10,0.4571737051010132,0.6889279437609842
0,0.6472041010856628,0.6362038664323374
1,0.6274980902671814,0.6274165202108963
2,0.5873008966445923,0.6274165202108963
3,0.5695312023162842,0.6274165202108963
4,0.5348026156425476,0.6274165202108963
5,0.5127814412117004,0.6274165202108963
6,0.47816136479377747,0.6520210896309314
7,0.46998873353004456,0.6467486818980668
8,0.4931074380874634,0.6274165202108963
9,0.5172415375709534,0.6274165202108963
10,0.5187326073646545,0.6274165202108963
