round,loss,accuracy
0,0.7169933915138245,0.4692682926829268
1,0.7544207572937012,0.5131707317073171
2,0.6770482063293457,0.5160975609756098
3,0.6285020709037781,0.6380487804878049
4,0.5899920463562012,0.7492682926829268
5,0.5563985109329224,0.8029268292682927
6,0.5260443091392517,0.8390243902439024
7,0.4985068738460541,0.8351219512195122
8,0.4746650457382202,0.8360975609756097
9,0.45449766516685486,0.84
10,0.43698403239250183,0.8429268292682927
0,0.6910490989685059,0.511219512195122
1,0.6873158812522888,0.5131707317073171
2,0.6184846758842468,0.7395121951219512
3,0.587912380695343,0.7609756097560976
4,0.624994158744812,0.584390243902439
5,0.5612829327583313,0.7346341463414634
6,0.5220310091972351,0.8185365853658536
7,0.5201799273490906,0.7804878048780488
8,0.5229593515396118,0.7424390243902439
9,0.5249589085578918,0.7258536585365853
10,0.438323050737381,0.8429268292682927
0,0.7367432713508606,0.37658536585365854
1,0.7217466831207275,0.4868292682926829
2,0.6563166975975037,0.5160975609756098
3,0.6301462054252625,0.5834146341463414
4,0.6265590190887451,0.5521951219512196
5,0.5439621210098267,0.7775609756097561
6,0.5216758847236633,0.8048780487804879
7,0.5410094857215881,0.7278048780487805
8,0.4910128712654114,0.8341463414634146
9,0.45288243889808655,0.855609756097561
10,0.5267897248268127,0.6878048780487804
0,0.6774542927742004,0.5404878048780488
1,0.6544436812400818,0.6039024390243902
2,0.6299532055854797,0.624390243902439
3,0.6052441000938416,0.6439024390243903
4,0.5806777477264404,0.7141463414634146
5,0.5568690896034241,0.735609756097561
6,0.5327807664871216,0.7560975609756098
7,0.5107102990150452,0.7687804878048781
8,0.4909413754940033,0.7814634146341464
9,0.4701928198337555,0.8058536585365854
10,0.44956305623054504,0.8204878048780487
0,0.6958303451538086,0.48878048780487804
1,0.6733527779579163,0.5404878048780488
2,0.649139940738678,0.6751219512195122
3,0.6194376349449158,0.7112195121951219
4,0.628328800201416,0.6409756097560976
5,0.5900461077690125,0.686829268292683
6,0.5866146683692932,0.6682926829268293
7,0.5895721316337585,0.6370731707317073
8,0.5508818626403809,0.704390243902439
9,0.49200886487960815,0.7902439024390244
10,0.44313254952430725,0.8146341463414634
0,0.7084224820137024,0.45951219512195124
1,0.7261181473731995,0.5131707317073171
2,0.7247634530067444,0.5131707317073171
3,0.6903569102287292,0.5131707317073171
4,0.7504784464836121,0.5131707317073171
5,0.827939510345459,0.5131707317073171
6,0.7636616230010986,0.5131707317073171
7,0.7109583020210266,0.5131707317073171
8,0.6757460832595825,0.5131707317073171
9,0.6397522687911987,0.551219512195122
10,0.5702582001686096,0.6692682926829269
