round,loss,accuracy
0,0.6935476660728455,0.6274165202108963
1,0.5939009785652161,0.7521968365553603
2,0.5399906039237976,0.8084358523725835
3,0.4947582185268402,0.843585237258348
4,0.45598340034484863,0.8822495606326889
5,0.42365720868110657,0.9068541300527241
6,0.39531633257865906,0.9138840070298769
7,0.3712915778160095,0.9209138840070299
8,0.3509163558483124,0.929701230228471
9,0.33293598890304565,0.9384885764499121
10,0.31802433729171753,0.945518453427065
0,0.6601090431213379,0.6783831282952548
1,0.5938734412193298,0.8664323374340949
2,0.5949171185493469,0.655536028119508
3,0.5293743014335632,0.8980667838312829
4,0.4875425100326538,0.9244288224956063
5,0.453965425491333,0.9226713532513181
6,0.4224415421485901,0.929701230228471
7,0.380921870470047,0.9384885764499121
8,0.3634064495563507,0.9349736379613357
9,0.3403458297252655,0.945518453427065
10,0.3253942131996155,0.9420035149384886
0,0.6387969255447388,0.8224956063268892
1,0.5860700607299805,0.8137082601054482
2,0.5696392059326172,0.7926186291739895
3,0.5035997629165649,0.9191564147627417
4,0.44107121229171753,0.9314586994727593
5,0.41732901334762573,0.9138840070298769
6,0.3717246949672699,0.929701230228471
7,0.35223862528800964,0.9349736379613357
8,0.361023873090744,0.9209138840070299
9,0.318959504365921,0.9384885764499121
10,0.36037617921829224,0.8576449912126538
0,0.6906695365905762,0.562390158172232
1,0.6258863210678101,0.827768014059754
2,0.5736363530158997,0.8980667838312829
3,0.524955153465271,0.9068541300527241
4,0.4786226153373718,0.9103690685413005
5,0.4371851682662964,0.9173989455184535
6,0.4029611349105835,0.9226713532513181
7,0.3728266954421997,0.9244288224956063
8,0.3476916551589966,0.9261862917398945
9,0.32550835609436035,0.9261862917398945
10,0.3071935474872589,0.9279437609841827
0,0.7477397322654724,0.34973637961335674
1,0.6679617762565613,0.6344463971880492
2,0.6616584658622742,0.6274165202108963
3,0.6254011988639832,0.6274165202108963
4,0.5682512521743774,0.6274165202108963
5,0.5526292324066162,0.6274165202108963
6,0.5218183994293213,0.6309314586994728
7,0.5136063694953918,0.6274165202108963
8,0.46034467220306396,0.680140597539543
9,0.48927241563796997,0.632688927943761
10,0.4724313020706177,0.6414762741652021
0,0.7774880528450012,0.1704745166959578
1,0.6847476959228516,0.5659050966608085
2,0.6394092440605164,0.718804920913884
3,0.5913079380989075,0.8629173989455184
4,0.5670682191848755,0.81195079086116
5,0.5639276504516602,0.6449912126537786
6,0.5017257928848267,0.7768014059753954
7,0.47811099886894226,0.7205623901581723
8,0.4308036267757416,0.8189806678383128
9,0.3904489576816559,0.9191564147627417
10,0.37553870677948,0.8963093145869947
0,0.670538604259491,0.6414762741652021
1,0.634222149848938,0.664323374340949
2,0.5943344235420227,0.7117750439367311
3,0.5552175045013428,0.7486818980667839
4,0.5183989405632019,0.7855887521968365
5,0.48336556553840637,0.820738137082601
6,0.45401087403297424,0.8453427065026362
7,0.4270865023136139,0.8611599297012302
8,0.40086787939071655,0.8787346221441125
9,0.3770250082015991,0.8892794376098418
10,0.35649916529655457,0.8998242530755711
0,0.7305637001991272,0.3427065026362039
1,0.7209069728851318,0.6186291739894552
2,0.6741442680358887,0.6256590509666081
3,0.6283769011497498,0.632688927943761
4,0.5830745697021484,0.6502636203866432
5,0.5432459115982056,0.6783831282952548
6,0.5052286982536316,0.718804920913884
7,0.4697801470756531,0.7873462214411248
8,0.43831467628479004,0.8154657293497364
9,0.41103821992874146,0.8471001757469244
10,0.3843793272972107,0.8787346221441125
0,0.6189771294593811,0.827768014059754
1,0.575602114200592,0.8699472759226714
2,0.5367289781570435,0.8734622144112478
3,0.4995817244052887,0.8840070298769771
4,0.46513766050338745,0.8910369068541301
5,0.4334503412246704,0.8945518453427065
6,0.40596529841423035,0.8945518453427065
7,0.3811407685279846,0.9015817223198594
8,0.35869723558425903,0.9103690685413005
9,0.3397555649280548,0.9138840070298769
10,0.32149094343185425,0.9156414762741653
0,0.7392379641532898,0.5641476274165202
1,0.6827101707458496,0.632688927943761
2,0.6139339804649353,0.7223198594024605
3,0.5751092433929443,0.6906854130052724
4,0.5254060626029968,0.827768014059754
5,0.47009485960006714,0.8576449912126538
6,0.44167953729629517,0.8681898066783831
7,0.4186680316925049,0.843585237258348
8,0.3939952850341797,0.8576449912126538
9,0.35973718762397766,0.8963093145869947
10,0.37400177121162415,0.836555360281195
0,0.7038933038711548,0.43409490333919154
1,0.6341462731361389,0.680140597539543
2,0.6015452146530151,0.836555360281195
3,0.5519092679023743,0.9068541300527241
4,0.5137531757354736,0.9209138840070299
5,0.48004552721977234,0.9138840070298769
6,0.4354289472103119,0.9437609841827768
7,0.40525344014167786,0.9420035149384886
8,0.37298524379730225,0.9437609841827768
9,0.34038642048835754,0.945518453427065
10,0.3216012716293335,0.9384885764499121
0,0.7037872076034546,0.37258347978910367
1,0.6447116732597351,0.5325131810193322
2,0.6198087930679321,0.546572934973638
3,0.5727450251579285,0.8453427065026362
4,0.5396286249160767,0.8347978910369068
5,0.4920172095298767,0.9121265377855887
6,0.4517304301261902,0.9121265377855887
7,0.42118024826049805,0.9226713532513181
8,0.39011532068252563,0.929701230228471
9,0.3490593731403351,0.9332161687170475
10,0.322066068649292,0.929701230228471
0,0.7359725832939148,0.3304042179261863
1,0.6723494529724121,0.4991212653778559
2,0.6072830557823181,0.8295254833040422
3,0.56391441822052,0.8681898066783831
4,0.5268145799636841,0.8998242530755711
5,0.4844059348106384,0.9138840070298769
6,0.45020967721939087,0.9209138840070299
7,0.4084984362125397,0.929701230228471
8,0.35924890637397766,0.9314586994727593
9,0.3401455879211426,0.929701230228471
10,0.318768173456192,0.9349736379613357
0,0.7544592022895813,0.37434094903339193
1,0.6713384985923767,0.6133567662565905
2,0.671010434627533,0.6221441124780316
3,0.6358742117881775,0.6274165202108963
4,0.6685349345207214,0.6274165202108963
5,0.6267374157905579,0.6274165202108963
6,0.674735426902771,0.6274165202108963
7,0.6495751738548279,0.6274165202108963
8,0.5942309498786926,0.6274165202108963
9,0.5421795845031738,0.6274165202108963
10,0.4874749779701233,0.6274165202108963
0,0.6462774872779846,0.6942003514938488
1,0.5959261059761047,0.7943760984182777
2,0.5405182242393494,0.8611599297012302
3,0.4739052653312683,0.9121265377855887
4,0.4369148015975952,0.9033391915641477
5,0.4054150879383087,0.9420035149384886
6,0.36767110228538513,0.9420035149384886
7,0.3392251133918762,0.9367311072056239
8,0.2994537055492401,0.9367311072056239
9,0.2756694555282593,0.9490333919156415
10,0.264234334230423,0.9490333919156415
0,0.6465817093849182,0.7521968365553603
1,0.593603253364563,0.8910369068541301
2,0.5376586318016052,0.9156414762741653
3,0.4885665774345398,0.929701230228471
4,0.4455677568912506,0.9314586994727593
5,0.4090495705604553,0.9367311072056239
6,0.3784008324146271,0.9402460456942003
7,0.35266634821891785,0.9420035149384886
8,0.330879807472229,0.9420035149384886
9,0.3126983940601349,0.9437609841827768
10,0.2976887822151184,0.9437609841827768
0,0.7434585094451904,0.3251318101933216
1,0.6710435748100281,0.664323374340949
2,0.605310320854187,0.8014059753954306
3,0.5509587526321411,0.8576449912126538
4,0.5046849846839905,0.8804920913884007
5,0.4652772843837738,0.8945518453427065
6,0.4321014881134033,0.9050966608084359
7,0.4031466245651245,0.9086115992970123
8,0.37916240096092224,0.9103690685413005
9,0.3587493598461151,0.9226713532513181
10,0.3413580656051636,0.9261862917398945
0,0.6775895357131958,0.6590509666080844
1,0.6311686038970947,0.6766256590509666
2,0.5662473440170288,0.8031634446397188
3,0.5149978399276733,0.8717047451669596
4,0.47160840034484863,0.9068541300527241
5,0.43519845604896545,0.9209138840070299
6,0.40338626503944397,0.9279437609841827
7,0.3768364489078522,0.9332161687170475
8,0.35381343960762024,0.9384885764499121
9,0.33426129817962646,0.9420035149384886
10,0.31782934069633484,0.945518453427065
0,0.740816593170166,0.30052724077328646
1,0.7136850953102112,0.6256590509666081
2,0.574489414691925,0.7504393673110721
3,0.5288064479827881,0.804920913884007
4,0.46656253933906555,0.9173989455184535
5,0.4309847950935364,0.9138840070298769
6,0.39630091190338135,0.9173989455184535
7,0.380402147769928,0.9068541300527241
8,0.3715207278728485,0.8822495606326889
9,0.3261287212371826,0.9261862917398945
10,0.2984936237335205,0.9279437609841827
0,0.7017166018486023,0.46748681898066785
1,0.6839964389801025,0.6274165202108963
2,0.5731856822967529,0.6432337434094904
3,0.5052565932273865,0.8629173989455184
4,0.5085588693618774,0.664323374340949
5,0.4559471011161804,0.8822495606326889
6,0.433539479970932,0.8910369068541301
7,0.3929150104522705,0.9279437609841827
8,0.36894381046295166,0.9279437609841827
9,0.3410055637359619,0.9437609841827768
10,0.355265349149704,0.9033391915641477
0,0.7046104669570923,0.45342706502636204
1,0.6354144811630249,0.7838312829525483
2,0.6039966940879822,0.648506151142355
3,0.5638114213943481,0.6467486818980668
4,0.5055725574493408,0.8963093145869947
5,0.4705936014652252,0.8471001757469244
6,0.43532320857048035,0.8857644991212654
7,0.39037683606147766,0.9314586994727593
8,0.3552738130092621,0.9490333919156415
9,0.3673117160797119,0.8980667838312829
10,0.3540869355201721,0.9103690685413005
0,0.6880398392677307,0.44639718804920914
1,0.6722022891044617,0.6256590509666081
2,0.5854960680007935,0.9050966608084359
3,0.5435769557952881,0.9209138840070299
4,0.4929230213165283,0.9156414762741653
5,0.44810765981674194,0.929701230228471
