experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_001,fedavg,heart,iid,3,,true,0.0,0.8419512195121951,0.9206092793952926,10
exp_002,fedavg,heart,iid,5,,true,0.0,0.8380487804878048,0.9235009943842056,10
exp_003,fedavg,heart,iid,10,,true,0.0,0.833170731707317,0.9178471010461988,10
exp_004,fedavg,heart,iid,3,,true,0.3,0.8448780487804878,0.9267775093914064,10
exp_005,fedavg,heart,iid,5,,true,0.3,0.8517073170731707,0.9244001310606003,10
exp_006,fedavg,heart,iid,10,,true,0.3,0.7551219512195122,0.8873107431593225,10
exp_007,fedavg,heart,iid,3,,true,0.5,0.8497560975609756,0.9251887806030312,10
exp_008,fedavg,heart,iid,5,,true,0.5,0.8009756097560976,0.9004587121010081,10
exp_009,fedavg,heart,iid,10,,true,0.5,0.7951219512195122,0.89028246607283,10
exp_010,fedavg,heart,iid,3,,false,0.0,0.871219512195122,0.9413008526558821,10
exp_011,fedavg,heart,iid,5,,false,0.0,0.8565853658536585,0.9249144677187073,10
exp_012,fedavg,heart,iid,10,,false,0.0,0.8185365853658536,0.8967783475696641,10
exp_013,fedavg,heart,iid,3,,false,0.3,0.8634146341463415,0.9406341199509285,10
exp_014,fedavg,heart,iid,5,,false,0.3,0.8478048780487805,0.9344658899548146,10
exp_015,fedavg,heart,iid,10,,false,0.3,0.8507317073170731,0.9202778179934012,10
exp_016,fedavg,heart,iid,3,,false,0.5,0.8770731707317073,0.9395635377218315,10
exp_017,fedavg,heart,iid,5,,false,0.5,0.8595121951219512,0.927817612411134,10
exp_018,fedavg,heart,iid,10,,false,0.5,0.8282926829268292,0.9117474492711659,10
exp_019,fedavg,heart,noniid,3,,true,0.0,0.806829268292683,0.9230399963424949,10
exp_020,fedavg,heart,noniid,5,,true,0.0,0.8019512195121952,0.9206930972210581,10
exp_021,fedavg,heart,noniid,10,,true,0.0,0.7239024390243902,0.9121093898824265,10
exp_022,fedavg,heart,noniid,3,,true,0.3,0.72,0.8991252466911008,10
exp_023,fedavg,heart,noniid,5,,true,0.3,0.8351219512195122,0.9184566852335851,10
exp_024,fedavg,heart,noniid,10,,true,0.3,0.7921951219512195,0.9174165822138575,10
exp_025,fedavg,heart,noniid,3,,true,0.5,0.8370731707317073,0.9079870768152275,10
exp_026,fedavg,heart,noniid,5,,true,0.5,0.7531707317073171,0.9099987046336018,10
exp_027,fedavg,heart,noniid,10,,true,0.5,0.8409756097560975,0.9185900317745758,10
exp_028,fedavg,heart,noniid,3,,false,0.0,0.8419512195121951,0.9277299846841973,10
exp_029,fedavg,heart,noniid,5,,false,0.0,0.8526829268292683,0.9287586580004115,10
exp_030,fedavg,heart,noniid,10,,false,0.0,0.824390243902439,0.9221370497649292,10
exp_031,fedavg,heart,noniid,3,,false,0.3,0.7960975609756098,0.9296654144791484,10
exp_032,fedavg,heart,noniid,5,,false,0.3,0.8517073170731707,0.9308160046328399,10
exp_033,fedavg,heart,noniid,10,,false,0.3,0.848780487804878,0.9387825079817429,10
exp_034,fedavg,heart,noniid,3,,false,0.5,0.8565853658536585,0.9361346266677841,10
exp_035,fedavg,heart,noniid,5,,false,0.5,0.8302439024390244,0.9226780557312344,10
exp_036,fedavg,heart,noniid,10,,false,0.5,0.8673170731707317,0.9346106661993189,10
exp_037,fedavg,heart,dirichlet,3,10.0,true,0.0,0.8507317073170731,0.9248420795964554,10
exp_038,fedavg,heart,dirichlet,3,1.0,true,0.0,0.8439024390243902,0.9327895334395027,10
exp_039,fedavg,heart,dirichlet,5,10.0,true,0.0,0.8419512195121951,0.9146315444577366,10
exp_040,fedavg,heart,dirichlet,5,1.0,true,0.0,0.7482926829268293,0.9051944192567645,10
exp_041,fedavg,heart,dirichlet,10,10.0,true,0.0,0.7687804878048781,0.8903358046892264,10
exp_042,fedavg,heart,dirichlet,10,1.0,true,0.0,0.7453658536585366,0.8800528814282558,10
exp_043,fedavg,heart,dirichlet,3,10.0,true,0.3,0.8360975609756097,0.9237676874661871,10
exp_044,fedavg,heart,dirichlet,3,1.0,true,0.3,0.6624390243902439,0.9201597110570952,10
exp_045,fedavg,heart,dirichlet,5,10.0,true,0.3,0.8204878048780487,0.9167346099042191,10
exp_046,fedavg,heart,dirichlet,5,1.0,true,0.3,0.6653658536585366,0.8815539824896941,10
exp_047,fedavg,heart,dirichlet,10,10.0,true,0.3,0.8126829268292682,0.905602078682079,10
exp_048,fedavg,heart,dirichlet,10,1.0,true,0.3,0.4926829268292683,0.8533188049102007,10
exp_049,fedavg,heart,dirichlet,3,10.0,true,0.5,0.8575609756097561,0.9305797907602277,10
exp_050,fedavg,heart,dirichlet,3,1.0,true,0.5,0.6429268292682927,0.9139000434328733,10
exp_051,fedavg,heart,dirichlet,5,10.0,true,0.5,0.8146341463414634,0.9233524082385303,10
exp_052,fedavg,heart,dirichlet,5,1.0,true,0.5,0.6595121951219513,0.9000586724780358,10
exp_053,fedavg,heart,dirichlet,10,10.0,true,0.5,0.8126829268292682,0.8829445964171689,10
exp_054,fedavg,heart,dirichlet,10,1.0,true,0.5,0.8351219512195122,0.9023103240701937,10
exp_055,fedavg,heart,dirichlet,3,10.0,false,0.0,0.8741463414634146,0.9403559971654336,10
exp_056,fedavg,heart,dirichlet,3,1.0,false,0.0,0.8263414634146341,0.9244572795781678,10
exp_057,fedavg,heart,dirichlet,5,10.0,false,0.0,0.8526829268292683,0.9239810419317722,10
